year,district,black_pop,total_pop,white_pop
2007,"Congressional District 1 (110th Congress), Oregon",11663,784630,642798
2007,"Congressional District 2 (110th Congress), Oregon",2739,755605,684163
2007,"Congressional District 3 (110th Congress), Oregon",37319,731521,581831
2007,"Congressional District 4 (110th Congress), Oregon",4859,722322,653735
2007,"Congressional District 5 (110th Congress), Oregon",6272,753377,653705
2007,"Congressional District 1 (110th Congress), Pennsylvania",296501,618182,206597
2007,"Congressional District 2 (110th Congress), Pennsylvania",348922,582775,179526
2007,"Congressional District 3 (110th Congress), Pennsylvania",22026,640598,601808
2007,"Congressional District 4 (110th Congress), Pennsylvania",23812,645680,601740
2007,"Congressional District 5 (110th Congress), Pennsylvania",11549,634935,605370
2007,"Congressional District 6 (110th Congress), Pennsylvania",51148,709869,603959
2007,"Congressional District 7 (110th Congress), Pennsylvania",61877,671944,565028
2007,"Congressional District 8 (110th Congress), Pennsylvania",25608,669902,608738
2007,"Congressional District 9 (110th Congress), Pennsylvania",12220,652248,625828
2007,"Congressional District 10 (110th Congress), Pennsylvania",17235,654666,620186
2007,"Congressional District 11 (110th Congress), Pennsylvania",35509,670794,610120
2007,"Congressional District 12 (110th Congress), Pennsylvania",21794,623554,588045
2007,"Congressional District 13 (110th Congress), Pennsylvania",60335,650307,527967
2007,"Congressional District 14 (110th Congress), Pennsylvania",137157,568687,401868
2007,"Congressional District 15 (110th Congress), Pennsylvania",31922,706684,602258
2007,"Congressional District 16 (110th Congress), Pennsylvania",33144,696648,608107
2007,"Congressional District 17 (110th Congress), Pennsylvania",51777,666958,579586
2007,"Congressional District 18 (110th Congress), Pennsylvania",17331,657475,621521
2007,"Congressional District 19 (110th Congress), Pennsylvania",29522,710886,650395
2007,"Congressional District 1 (110th Congress), Rhode Island",35035,526940,444373
2007,"Congressional District 2 (110th Congress), Rhode Island",24072,530892,431139
2007,"Congressional District 1 (110th Congress), South Carolina",165112,804234,592305
2007,"Congressional District 2 (110th Congress), South Carolina",208980,771512,525195
2007,"Congressional District 3 (110th Congress), South Carolina",140699,699104,529680
2007,"Congressional District 4 (110th Congress), South Carolina",149515,742080,563121
2007,"Congressional District 5 (110th Congress), South Carolina",222392,730625,482049
2007,"Congressional District 6 (110th Congress), South Carolina",366877,660154,275919
2007,"Congressional District (at Large) (110th Congress), South Dakota",8679,796215,695699
2007,"Congressional District 1 (110th Congress), Tennessee",13743,665912,632227
2007,"Congressional District 2 (110th Congress), Tennessee",46486,708082,637128
2007,"Congressional District 3 (110th Congress), Tennessee",76797,676061,574045
2007,"Congressional District 4 (110th Congress), Tennessee",24884,675328,627063
2007,"Congressional District 5 (110th Congress), Tennessee",171659,693708,478480
2007,"Congressional District 6 (110th Congress), Tennessee",59244,747267,654954
2007,"Congressional District 7 (110th Congress), Tennessee",106375,745836,598918
2007,"Congressional District 8 (110th Congress), Tennessee",154952,649027,476944
2007,"Congressional District 9 (110th Congress), Tennessee",374989,595498,188993
2007,"Congressional District 1 (110th Congress), Texas",124678,703337,519723
2007,"Congressional District 2 (110th Congress), Texas",150731,759249,507812
2007,"Congressional District 3 (110th Congress), Texas",96398,831319,571205
2007,"Congressional District 4 (110th Congress), Texas",79554,792111,646993
2007,"Congressional District 5 (110th Congress), Texas",88244,703264,551750
2007,"Congressional District 6 (110th Congress), Texas",122467,774982,538311
2007,"Congressional District 7 (110th Congress), Texas",66348,782163,560568
2007,"Congressional District 8 (110th Congress), Texas",67455,770842,650805
2007,"Congressional District 9 (110th Congress), Texas",264481,690772,257904
2007,"Congressional District 10 (110th Congress), Texas",94660,898647,619933
2007,"Congressional District 11 (110th Congress), Texas",24684,679474,572124
2007,"Congressional District 12 (110th Congress), Texas",45427,770083,591567
2007,"Congressional District 13 (110th Congress), Texas",38825,657226,517744
2007,"Congressional District 14 (110th Congress), Texas",62756,728745,562223
2007,"Congressional District 15 (110th Congress), Texas",13954,738337,529055
2007,"Congressional District 16 (110th Congress), Texas",20178,702998,534384
2007,"Congressional District 17 (110th Congress), Texas",73784,732285,589994
2007,"Congressional District 18 (110th Congress), Texas",262726,683309,292388
2007,"Congressional District 19 (110th Congress), Texas",35833,656619,536488
2007,"Congressional District 20 (110th Congress), Texas",50309,680539,380234
2007,"Congressional District 21 (110th Congress), Texas",55547,802272,650543
2007,"Congressional District 22 (110th Congress), Texas",103533,852032,575841
2007,"Congressional District 23 (110th Congress), Texas",23255,777141,546750
2007,"Congressional District 24 (110th Congress), Texas",103190,770834,513769
2007,"Congressional District 25 (110th Congress), Texas",63299,770313,482697
2007,"Congressional District 26 (110th Congress), Texas",108230,864572,653948
2007,"Congressional District 27 (110th Congress), Texas",16375,713074,578730
2007,"Congressional District 28 (110th Congress), Texas",10501,785784,565280
2007,"Congressional District 29 (110th Congress), Texas",67522,667840,341477
2007,"Congressional District 30 (110th Congress), Texas",269101,693071,282685
2007,"Congressional District 31 (110th Congress), Texas",101789,811354,602325
2007,"Congressional District 32 (110th Congress), Texas",51720,659792,478905
2007,"Congressional District 1 (110th Congress), Utah",13510,864450,779547
2007,"Congressional District 2 (110th Congress), Utah",6858,873408,789884
2007,"Congressional District 3 (110th Congress), Utah",5097,907472,812256
2007,"Congressional District (at Large) (110th Congress), Vermont",3873,621254,597245
2007,"Congressional District 1 (110th Congress), Virginia",144001,749407,544764
2007,"Congressional District 2 (110th Congress), Virginia",151623,649383,436753
2007,"Congressional District 3 (110th Congress), Virginia",361291,659120,258261
2007,"Congressional District 4 (110th Congress), Virginia",242547,723807,445776
2007,"Congressional District 5 (110th Congress), Virginia",150787,662086,486031
2007,"Congressional District 6 (110th Congress), Virginia",71673,681122,582857
2007,"Congressional District 7 (110th Congress), Virginia",128450,739038,562507
2007,"Congressional District 8 (110th Congress), Virginia",91492,659597,434108
2007,"Congressional District 9 (110th Congress), Virginia",27101,639752,594477
2007,"Congressional District 10 (110th Congress), Virginia",56804,787679,592756
2007,"Congressional District 11 (110th Congress), Virginia",83509,761100,490713
2007,"Congressional District 1 (110th Congress), Washington",13210,706008,574926
2007,"Congressional District 2 (110th Congress), Washington",11663,744191,641084
2007,"Congressional District 3 (110th Congress), Washington",10329,762207,676790
2007,"Congressional District 4 (110th Congress), Washington",7199,725560,564145
2007,"Congressional District 5 (110th Congress), Washington",8111,699805,622376
2007,"Congressional District 6 (110th Congress), Washington",37239,674981,536666
2007,"Congressional District 7 (110th Congress), Washington",49855,665196,472177
2007,"Congressional District 8 (110th Congress), Washington",24103,794541,625027
